"id_pessoa";"idade_pessoa";"salario_ano_pessoa";"propriedade_pessoa";"anos_trabalhados_pessoa";"id_emprestimo";"motivo_emprestimo";"pontuacao_emprestimo";"valor_emprestimo";"taxa_juros_emprestimo";"status_inadimplencia";"percentual_emprestimo_salario";"id_historico";"verifica_inadimplencia";"tempo_primeira_solicitacao"
"U6XpA8TM-07ng";26;18000;"Aluguel";0.0;"uOOm7rDH-yWRt";"Educativo";"";10000;11.71;1;0.19;"mGGQ9naP-Yamc";"";7
"pyqNlFpE-hPy9";26;213000;"Hipoteca";6.0;"Ca5TeYTw-XHzW";"Educativo";"B";35000;10.65;1;0.16;"4QxKa9Pz-r7mO";"N";2
"XT1SKSnx-GPeJ";26;48000;"Aluguel";10.0;"XARTHr2r-hFDn";"Medico";"B";7000;12.69;0;0.15;"BAaeEqtd-JTaj";"N";2
"wIQSZTmX-3Ouu";22;50000;"Hipoteca";7.0;"pB15jDS1-YD6R";"Educativo";"A";12800;7.88;0;0.26;"TqGkQivs-2qbE";"N";3
"4wMpudKW-Azry";27;39000;"Aluguel";4.0;"AeI0T8mt-yO03";"Pagamento_debitos";"B";7200;10.65;1;0.18;"ncvUCH1Q-ybWh";"N";5
"gtTKlnn1-L6aM";32;49500;"Aluguel";2.0;"dYs6A3j7-4oE9";"Medico";"B";8900;0.0;0;0.18;"UOibuetE-jWIn";"N";7
"hhP4pIw9-dSFc";22;24432;"Aluguel";0.0;"mbRmyPKs-WnXW";"Educativo";"B";2000;11.36;0;0.08;"Q3dJlLzp-NwWw";"N";4
"CMI9CEPY-h64k";22;96384;"Hipoteca";6.0;"8I2KvALH-zR7a";"Empreendimento";"B";18000;10.25;0;0.19;"kskdDxrl-uJhh";"N";3
"yuOXfaJ9-k8ea";0;75000;"Aluguel";2.0;"NYUSx9rb-Xdkp";"";"A";10000;16.89;1;0.09;"C9TKIQvt-qvyy";"Y";8
"7PtxyGsZ-RLB3";22;60000;"Hipoteca";7.0;"p1AJbDQC-u8Qh";"Pessoal";"B";12000;10.0;0;0.2;"BbTsUY3n-xNCI";"N";3
"yk0mPZHo-5ztC";24;33996;"Propria";0.0;"zeppIaqF-M7uo";"Medico";"B";5100;11.12;0;0.15;"jbX9abse-q5JD";"N";4
"sT4qjHaB-Sftu";26;70000;"Aluguel";6.0;"a2WlQg0K-eW4d";"Empreendimento";"E";15000;16.35;0;0.21;"pyByD1Cv-SAND";"Y";3
"e5UpMUGR-z8o6";28;79995;"Propria";3.0;"9EgZHfxT-QL4F";"Pessoal";"C";15000;0.0;0;0.19;"rejJAJUv-9YuC";"N";10
"JM0FNDHl-CBJR";26;48000;"Aluguel";3.0;"PD671pxC-R42P";"Pagamento_debitos";"B";8000;9.96;0;0.17;"tWUEiAqa-ycUZ";"N";3
"OFy3Q8CI-L3UM";22;50000;"Hipoteca";4.0;"YmsOXUFu-BTog";"Educativo";"A";5000;7.51;0;0.1;"8KAyfHW2-QEMh";"N";2
"NLtWMEXl-hI3O";27;159600;"Hipoteca";1.0;"hwREmn3x-Hz9U";"Melhora_do_lar";"B";25000;0.0;0;0.16;"7lcXAWoz-GZcY";"N";8
"lZnqZbii-iGQz";30;30000;"Hipoteca";1.0;"dcEtR6TI-Sum5";"Empreendimento";"A";10000;6.99;0;0.33;"B7r81m4k-lA0G";"N";5
"trN8IwPt-DBed";22;88000;"Hipoteca";6.0;"N3GhgkZg-GUzX";"Educativo";"B";5000;11.11;0;0.06;"iwtGqcxj-JtZZ";"N";4
"BtZte2eD-fQPo";25;30000;"Aluguel";2.0;"XoFewE3Y-xXa1";"Medico";"A";3200;8.0;0;0.11;"bSTolAFG-fqqb";"N";4
"BRmPf6yD-FTPL";31;151000;"Hipoteca";1.0;"h9W7G6qu-gURT";"Educativo";"C";21000;11.97;0;0.14;"8IrAKA6K-o9OF";"N";8
"PE8KpxxB-oZgh";22;32500;"Hipoteca";6.0;"1JtcxLqW-PN1G";"Educativo";"A";2500;6.99;0;0.08;"ifTgu9OS-yUfN";"N";2
"P1Su4FuK-yIp8";33;115000;"Aluguel";9.0;"d5I87BYk-S8RK";"Melhora_do_lar";"C";7500;11.03;0;0.07;"wL2DXxkg-0nut";"Y";8
"kOz0kBUB-Nfp0";26;42000;"Aluguel";8.0;"PuiTqCRL-p9PZ";"Medico";"C";6000;12.73;0;0.14;"htoCN9d1-06LT";"N";4
"BH7dg2FN-zL62";26;113000;"Hipoteca";0.0;"rSUFHGLc-7c8M";"Pessoal";"A";8000;5.42;0;0.16;"MQQXiiUh-Jgfu";"";4
"XcELd51A-E52O";27;63000;"Propria";2.0;"yHLiB2rs-MUoW";"Educativo";"A";9500;8.07;0;0.15;"aP0Lnzvx-8QLz";"N";8
"phjQXJTc-2hAu";21;46200;"Aluguel";5.0;"U498fwK0-x2aD";"Educativo";"A";6000;0.0;0;0.13;"fqZ4Re2H-ciS9";"N";4
"dUGFf9km-pDUJ";22;90000;"Hipoteca";6.0;"wxeKmsqr-fash";"Medico";"B";6400;9.88;0;0.07;"USA0KGwU-UHjj";"N";3
"vi8Xc067-wTFS";24;37500;"Hipoteca";2.0;"PnuSQDms-Ks1I";"Pagamento_debitos";"A";5600;8.94;0;0.15;"E863x6fJ-4Uos";"N";4
"IGW6Owne-DJAY";23;114000;"Hipoteca";4.0;"fWkf8bil-sXAh";"Pessoal";"";18000;12.18;1;0.0;"FqZKjBLD-m3dY";"N";2
"7CDgL5Gh-bR2E";24;115000;"Hipoteca";4.0;"pCKeRRlF-Mv0h";"Pagamento_debitos";"A";8000;7.51;0;0.07;"ZkBy8MOs-0hdy";"N";4
"f9tWnenT-g4WD";25;155796;"Hipoteca";4.0;"xM5tBv9x-Tvxc";"Pessoal";"C";25000;13.48;0;0.16;"K8C4gXjN-GlcE";"N";2
"wnsfGfBo-jqKl";22;30000;"Aluguel";5.0;"Cj600E7R-CtjL";"Empreendimento";"B";7200;11.71;0;0.24;"uqMQ6bdM-SQmU";"N";3
"0tbWA6qD-CfZj";36;16800;"Aluguel";2.0;"JqGHaThA-qDep";"Empreendimento";"C";1200;13.06;0;0.07;"m8HYy9Li-pKcy";"N";14
"yeQbgycz-tjBt";43;93000;"Hipoteca";7.0;"zPlDHR9M-9dFF";"Pessoal";"A";7000;7.14;0;0.08;"qJQODIU9-oY7R";"N";13
"koiovo4z-2WHQ";28;92000;"Hipoteca";0.0;"3wYHDtJA-9Mk9";"Educativo";"C";6000;0.0;0;0.07;"tIQf7PPP-a2L9";"N";7
"S9kyz32o-4TCs";25;62393;"Outros";0.0;"0hhk1Lln-BrfQ";"Medico";"D";20000;15.05;1;0.27;"WkBmpjti-DDFD";"Y";3
"yQffBcAm-9CJq";42;22000;"Aluguel";3.0;"QPCJhLBG-sncB";"Pessoal";"A";9000;7.66;1;0.41;"mM9swoBI-jvfz";"N";11
"3k9MRRUy-4zjR";22;65000;"Hipoteca";6.0;"NKgiF18d-Xupr";"Pagamento_debitos";"A";8000;6.99;0;0.12;"b5KCxBnF-FG99";"N";3
"Dgp1gcLq-i6Yd";22;40800;"Aluguel";5.0;"BsDZQKSq-iiuA";"Educativo";"A";2000;6.62;0;0.05;"W8prPqTg-4SU9";"N";3
"0SID7OMF-lI8f";28;30000;"Hipoteca";8.0;"hoE1mnWY-0sb9";"Pagamento_debitos";"A";3000;7.29;0;0.1;"OX9o3ERi-L1sE";"N";5
"lqzkLyFm-94Be";23;68000;"Hipoteca";2.0;"Id4BcxZC-jWI2";"Empreendimento";"B";10000;10.37;0;0.15;"MdOhIn7h-h5Lc";"N";2
"EFO1m4Bu-l7EF";42;57996;"Aluguel";26.0;"S0KHKGNw-vrDl";"Empreendimento";"A";6000;8.59;0;0.1;"EsdWfemZ-1fIm";"N";12
"EeEOoHoW-nCEA";26;48000;"Hipoteca";0.0;"pCm7m2g5-5A63";"Educativo";"A";15000;5.99;1;0.31;"4H9bawiM-BsP8";"N";2
"ALC7FPwn-pIK4";38;55000;"Hipoteca";4.0;"AKj0ZwhO-J5xO";"Pagamento_debitos";"D";25000;0.0;1;0.45;"XnjWFBJW-0HtF";"Y";14
"z0a4FGkf-0KFm";55;51000;"Aluguel";2.0;"7erDFdLy-qj0l";"Pessoal";"A";8000;5.79;0;0.16;"w2DWveuY-ArTT";"N";26
"1msoqK20-kYSY";22;50004;"Hipoteca";0.0;"z6kZIa9r-Wnho";"Educativo";"E";11000;15.68;0;0.22;"EzC80oXS-tewZ";"Y";3
"nvjBHhhA-dpRP";25;43000;"Aluguel";9.0;"5R4btc7K-XlET";"Medico";"D";15000;15.57;1;0.35;"asm8xGMA-eurY";"N";3
"cr8XyGia-0pw4";25;19200;"Aluguel";6.0;"86iCRTR8-xAhZ";"Educativo";"E";4000;19.03;1;0.21;"5J9ia8dL-tjBC";"Y";4
"BC4hoDeE-SQvH";31;65000;"Hipoteca";15.0;"nPNh4GtF-UQoS";"Empreendimento";"B";30000;12.69;0;0.46;"UT7KM493-b2aC";"N";9
"7iNFkUtE-7cmD";43;50000;"Propria";3.0;"8brlGZWy-BU80";"Medico";"C";5000;13.35;0;0.1;"j4IhE1rF-PvfC";"Y";12
"E0ev5s80-KsNU";48;72000;"Hipoteca";5.0;"tnMZknEL-3ee8";"Melhora_do_lar";"D";7000;14.96;0;0.1;"DzFuGtn3-Fnjk";"Y";17
"MyTopD7H-vfnU";24;33600;"Aluguel";2.0;"9JqAIoxT-Ia7M";"Pessoal";"A";9450;7.66;1;0.28;"lwKa097a-qLYr";"N";2
"0zISkUNa-C2xS";37;96996;"Hipoteca";21.0;"ruzjbt3M-LolC";"Pessoal";"A";13000;0.0;0;0.13;"jLkwyOvr-0hqL";"N";13
"RU7bp2TX-0DXh";35;90000;"Hipoteca";8.0;"thDNKWJI-prCh";"Educativo";"B";4800;9.99;0;0.05;"x8AX54h1-FhYI";"N";5
"rr6Wwq2A-KdtU";22;190000;"Hipoteca";3.0;"UJebO6Ao-4NsC";"Empreendimento";"C";10000;0.0;0;0.05;"A6NDxDu4-hrbw";"N";3
"uz07gZ3S-Pky8";36;21324;"Aluguel";0.0;"MKC8MkqC-ryhQ";"Pagamento_debitos";"D";7550;14.61;1;0.35;"NyF5p9fh-q37k";"N";13
"CLKfZl5Y-Pixp";0;102000;"Hipoteca";2.0;"IkNkaSDp-yCcg";"Pessoal";"A";15000;0.0;1;0.4;"8cJ3lBRy-uF3k";"Y";10
"2rSZtWIv-XECD";28;60000;"Aluguel";12.0;"ImkF0e03-zgBQ";"Pagamento_debitos";"A";4600;7.88;0;0.08;"q338H2kp-iRZc";"N";6
"9dPt9rNI-NTyJ";25;65000;"Hipoteca";3.0;"6T38HdXC-xcsf";"Educativo";"C";10000;12.99;0;0.15;"51k0jPBL-tEfS";"N";2
"LEF429wn-qKH9";33;48000;"Aluguel";5.0;"obFzdvWg-zSv3";"Medico";"D";9600;16.29;0;0.2;"D3BLwPQh-iC3E";"Y";7
"c7j4Nram-3cLc";21;40000;"Aluguel";0.0;"jn5PTjv2-o8Ec";"Educativo";"B";16000;11.83;1;0.4;"U6Bxb6zE-3IO4";"N";4
"CvI2miwn-LRAW";28;32000;"Aluguel";0.0;"RxcnjmU1-oFYj";"Pessoal";"B";6000;0.0;0;0.19;"CXaTva1O-z7Ls";"N";5
"1yr7jDZ7-ZlUb";23;95000;"Hipoteca";4.0;"Dtt6jHW1-UX67";"Medico";"A";4400;7.9;0;0.05;"9CE0RMja-op8J";"N";3
"dyUxasuC-jgCn";24;90000;"Aluguel";0.0;"7HYJef2J-N1yj";"Medico";"C";7000;13.99;0;0.08;"YGF3Fwcm-I3ZC";"N";4
"PBMo6RAn-Agl9";22;42000;"Aluguel";3.0;"8DoFPbdD-vlzr";"Pessoal";"C";10000;13.98;0;0.24;"pwUfFWBe-hWTP";"N";2
"fBJaM5DU-klOh";24;64575;"Aluguel";2.0;"vntHxCnd-i2CH";"Pessoal";"A";12000;7.29;0;0.19;"cydfXU2Z-M4x5";"N";4
"0CqTxT2z-6uw6";29;100000;"Hipoteca";2.0;"j8mEjajT-lHyw";"Pessoal";"C";5000;15.96;0;0.05;"QKm628kA-vvOc";"N";8
"BW3F2dMu-xzKp";22;95000;"Hipoteca";3.0;"l8yBPucS-flcL";"Pessoal";"A";10000;9.07;0;0.11;"3GQzpsUA-F5pu";"N";3
"fX9vYsEk-MXi4";23;42000;"Aluguel";7.0;"Q0sLRDyf-HNo1";"Educativo";"B";1400;10.0;1;0.03;"wHrQ7A98-JEtI";"N";4
"cLhcbWDE-KhPf";27;60000;"Aluguel";1.0;"kbhRlGe1-EavJ";"Empreendimento";"C";10000;13.22;0;0.17;"CzxqLxOn-MJyr";"N";7
"xXE88WWr-r5Jk";31;190000;"Hipoteca";15.0;"24XrAmqq-baqD";"Medico";"C";24000;0.0;0;0.13;"7rvYpkA3-5MgS";"N";10
"C1EzJCGT-Sipw";28;42200;"Hipoteca";5.0;"j75LUjii-9FEG";"Empreendimento";"B";13200;11.48;0;0.31;"a1q6b71Y-vkN0";"N";8
"XyRU2S7c-LRbC";29;123000;"Aluguel";0.0;"frPE4Aiu-cBe7";"Educativo";"A";6500;0.0;0;0.05;"pugNE4MZ-6AD3";"N";10
"hmpjIlD9-RmRv";25;150000;"Hipoteca";6.0;"Id3yfKib-qbbY";"Pagamento_debitos";"C";5000;13.16;0;0.03;"yPTDhwYz-al6M";"Y";4
"KitX9qBv-2FXW";22;70000;"Aluguel";3.0;"MRyakgtJ-wC7Z";"Educativo";"A";12000;7.29;0;0.17;"j8l3uBcP-tPNq";"N";4
"5t39kSFK-bFZ8";23;50000;"Hipoteca";1.0;"2zM1YjWl-AtqZ";"Pessoal";"A";9000;0.0;0;0.18;"QJtAIRhY-qUw5";"N";2
"UseAdejr-tgDZ";32;25000;"Aluguel";9.0;"v8ZT71xW-ceIM";"Pagamento_debitos";"B";3700;9.91;0;0.15;"UwoPmM7h-RqAs";"N";6
"xpXxSXwQ-rTeg";26;46800;"Hipoteca";0.0;"xyerKJ8G-9p83";"Medico";"C";5000;12.87;1;0.11;"Jg0wUY0n-NT25";"N";4
"ZIUe8yrI-fxAZ";25;72000;"Hipoteca";7.0;"uQDPcPeI-p3Co";"Educativo";"B";25000;11.89;0;0.35;"WKrwNTQ1-AB8T";"N";2
"vdetJPoj-d8D5";23;78000;"Hipoteca";1.0;"2mKAlkoD-Ysyl";"Pagamento_debitos";"C";8000;12.87;1;0.1;"b27MnboF-fC5J";"Y";3
"WtBBxkKw-P4PI";25;125000;"Aluguel";0.0;"ekfxxks2-A5cg";"Empreendimento";"A";15000;0.0;0;0.12;"2NjO881i-LjUx";"N";3
"mvB0Mrt0-m3vO";24;50000;"Aluguel";1.0;"cLJKA7ZP-F6Gn";"Pessoal";"B";10000;11.71;0;0.2;"k0mxazTn-Sg1U";"N";2
"IUCAO3Dp-XEo7";27;39000;"Hipoteca";11.0;"cEzzrj9F-sHcP";"Melhora_do_lar";"E";5000;18.79;1;0.13;"8QTiBx5s-OdH9";"N";6
"BSHgN7yT-2Hgz";27;65000;"Hipoteca";11.0;"CKZWeH36-MP9l";"Melhora_do_lar";"A";8000;7.49;0;0.12;"cal7A71f-InhJ";"N";9
"rj49wy2U-L4jR";24;72400;"Hipoteca";4.0;"xEn8vCOs-WZrj";"";"E";0;10.38;0;0.18;"0Kzk8gJY-8hiN";"N";5
"k6bfvQXc-YKbt";27;102000;"Hipoteca";1.0;"rPZw73xw-vju6";"Pessoal";"B";16000;11.99;0;0.16;"ziAPhyMk-wcCK";"N";5
"PBrDNjgD-39L3";23;120000;"Hipoteca";2.0;"6goUvcYq-0O9a";"Educativo";"A";6000;6.76;0;0.05;"y5t7kDMs-BgrL";"N";3
"J2j33nxU-Zzd0";24;30000;"Hipoteca";0.0;"3CHfk6Er-oq3q";"Empreendimento";"C";6000;13.22;0;0.2;"SzwDfiOR-4cJa";"N";3
"I5MEo0IQ-g0Il";24;44475;"Propria";1.0;"nyWIu0AO-39u1";"Empreendimento";"B";5000;10.65;0;0.11;"JxYHlJix-WY7H";"N";3
"NcQy9s4F-zfEq";30;65004;"Hipoteca";3.0;"bAsM34oq-NbOM";"Pagamento_debitos";"A";5250;9.63;0;0.08;"Ccvm9cBF-bpHL";"N";8
"B9TZRQkL-etql";28;20000;"Propria";0.0;"H4txnQFX-sEYD";"Medico";"E";10000;0.0;1;0.5;"xsuPfuSW-ocjK";"N";7
"Hrjt1xhZ-2PO7";34;32000;"Aluguel";0.0;"LbyqjHPv-ZCRi";"Melhora_do_lar";"D";6400;15.62;1;0.2;"KgsgsHuF-7RlH";"N";5
"1JFYbtqx-dD93";25;30000;"Aluguel";0.0;"33l9kC0D-dp2r";"Educativo";"A";5000;7.9;0;0.17;"K3qM8GIW-CTX6";"N";3
"O5DMH7vK-Pr8Z";37;37000;"Hipoteca";7.0;"7iLfGilj-ATaY";"Educativo";"B";4000;10.59;0;0.11;"SMekrfiv-zTsm";"N";12
"YYcOgftx-OaCT";29;72000;"Aluguel";4.0;"luDduPbw-YyvQ";"Educativo";"A";24000;7.66;1;0.33;"GM6TbF12-EvMG";"N";6
"8NKBjLuO-IDcl";22;35000;"Aluguel";0.0;"7OfCTDuy-UTqS";"Educativo";"B";3000;0.0;0;0.09;"Sq1eWQ25-mZUo";"N";2
"I5g2OPYo-e32H";36;95000;"Hipoteca";18.0;"vnxlPm0c-BdW9";"Pessoal";"B";13000;10.65;0;0.14;"HrsHKUX7-A4JS";"N";11
"SG787bLu-Wr66";24;51000;"Hipoteca";8.0;"LRWHQP0k-Fe3n";"Pagamento_debitos";"B";12000;0.0;1;0.24;"g93M3lON-wIh2";"N";3
"IfWGWFOE-mGib";22;40000;"Hipoteca";5.0;"1E6xy71L-LL1B";"Pagamento_debitos";"B";8000;9.76;0;0.2;"tfD72JXk-9rsz";"N";4
"Jnkm6XM9-2agi";24;15120;"Aluguel";4.0;"PCNXEJrW-tmko";"Medico";"A";1600;7.51;0;0.11;"wqjCfJjF-J4ie";"N";3
"fIpCsPAS-AunI";23;76000;"Hipoteca";7.0;"TwOi2h5n-jFjA";"Pagamento_debitos";"A";20000;0.0;0;0.26;"8S37h1Rs-dnJD";"N";4
"fvJ9JU8K-ypMZ";31;80000;"Aluguel";0.0;"DmY9JXT9-1NaG";"Melhora_do_lar";"A";10000;8.59;0;0.13;"aCiMe6Ot-90bE";"N";6
"o106NJlW-03ld";43;145000;"Hipoteca";1.0;"7Ddc2LzG-NU3x";"Empreendimento";"A";20000;6.91;0;0.14;"BoCZiFpk-OXaJ";"N";17
"MeRvA2Us-spYj";23;45000;"Aluguel";7.0;"xaYDYa7a-MnNQ";"Educativo";"D";4000;14.96;0;0.09;"KZvs2nit-2hqv";"N";4
"jksvcATF-ArTs";25;102000;"Hipoteca";5.0;"s9LKWqbr-RPL5";"Educativo";"B";6975;9.91;0;0.07;"4KPH3itC-vLWH";"N";3
"HMcitIlC-nlMs";22;54500;"Hipoteca";6.0;"HQgYuDGP-5SSk";"Educativo";"B";21000;0.0;1;0.0;"QaNk7vtW-rWsh";"Y";9
"4yGdrzJp-537D";23;33000;"Aluguel";1.0;"If79mieb-9x2q";"Medico";"A";10000;5.42;0;0.3;"F9tdYtsf-YMNP";"N";3
"pgkgLDCq-oA7D";22;53000;"Aluguel";2.0;"BnaMkHTq-BEaL";"Empreendimento";"A";9600;7.66;0;0.18;"AfsU7mUK-hYXW";"N";4
"T6pkITz5-gYU6";34;148750;"Aluguel";3.0;"wmPF1vo8-NAmn";"Medico";"A";12000;7.9;1;0.07;"N7wxyDaQ-eaT8";"N";8
"1kqw6Qrm-c3cw";23;65000;"Aluguel";3.0;"TaSFW6YL-k3c3";"Empreendimento";"A";15000;8.94;0;0.23;"3hFWzcLY-nbyJ";"N";3
"hWao54NO-7Opv";22;67000;"Propria";3.0;"XP7B0HfH-4zz9";"Educativo";"A";12000;8.59;0;0.18;"52SWKC4z-Azwq";"N";2
"WoAt886o-qIeY";28;58000;"Aluguel";5.0;"Rj6uePuz-ZoW5";"Melhora_do_lar";"D";19000;14.09;1;0.33;"t17mQj62-mGng";"N";8
"mgvcnDQK-LTtl";39;69000;"Aluguel";0.0;"FyvLeqOR-yK7L";"Pessoal";"D";9500;16.77;1;0.24;"7R4CpI3S-kLeO";"";10
"AMUU4FSS-XOwv";28;81120;"Hipoteca";5.0;"CRdAoAIH-JlQE";"Melhora_do_lar";"B";5200;11.49;0;0.06;"SwSO4WR4-oRcY";"N";7
"6jT84FMy-ByZe";27;30000;"Aluguel";3.0;"69NUTRQ9-YFvq";"Medico";"B";2500;11.14;0;0.08;"05kicsQb-aZOs";"N";5
"pDNCaWWT-MB1X";32;73000;"";4.0;"E57bprgL-ZpZc";"Pagamento_debitos";"A";3600;15.23;0;0.0;"6gXBz06e-Xaoi";"N";4
"8Ezbl5EF-le6m";26;35652;"Aluguel";5.0;"uz3MJnvb-wsQt";"Pagamento_debitos";"B";1400;11.49;1;0.04;"PnB04pWW-5U3M";"N";4
"uwyFFf2D-5bNx";25;51492;"Hipoteca";2.0;"CLMtF44Q-71XA";"Educativo";"B";13800;10.38;0;0.27;"Js1syQv2-YIlO";"N";4
"Ya6c8oue-ANtm";23;18460;"Aluguel";0.0;"MZywc0JB-DCr8";"Pessoal";"A";2775;7.68;0;0.15;"abrS7gb2-ofBP";"N";2
"sWv3QsOL-H6l9";30;72000;"Hipoteca";13.0;"qD44yZuT-9Oe8";"Empreendimento";"A";12000;7.88;0;0.17;"3hyGXian-EXsS";"N";8
"T6HpO75J-CXwB";22;50000;"Propria";2.0;"KL690zTU-YpZA";"Educativo";"B";5600;11.86;0;0.11;"8UhHfrHc-Y3kd";"N";2
"8Xw9hHds-7tam";23;74029;"Aluguel";7.0;"ccZXa518-YI1L";"Pagamento_debitos";"C";2600;15.27;0;0.04;"TAykYEDL-g1Xy";"Y";3
"T3NT119i-BdMb";22;28000;"";5.0;"JNGJ4YhS-hJrO";"Pessoal";"B";4950;0.0;1;0.33;"7FGrfhQJ-PJTQ";"N";4
"fnGEuhmL-MtAv";22;60000;"Aluguel";0.0;"u1TTPvyY-H9Qx";"Medico";"B";10000;11.14;0;0.17;"WMJfiBMz-2Tp0";"N";4
"YC0BKXZv-GNhd";27;34000;"Aluguel";10.0;"qBNAafIt-Pmpk";"Medico";"D";4000;17.19;1;0.12;"f5ryJx69-RUgW";"Y";9
"etaUuOaX-bI0g";24;172000;"Hipoteca";6.0;"b54JXOeU-cvNL";"Pagamento_debitos";"C";20000;13.47;1;0.12;"8QYP00mi-bt2U";"Y";4
"g06gA8NI-lFJ0";22;38004;"Aluguel";6.0;"EtpwCocG-lNYx";"Empreendimento";"B";10000;10.74;0;0.26;"RPD50UXF-vWpt";"N";3
"RFj3tbk3-2zuO";21;30000;"Aluguel";2.0;"49qHtW0s-yv93";"Medico";"D";5000;14.96;1;0.17;"DPsIcl2U-a1KP";"Y";4
"D05mkzgs-C9pr";32;55600;"Propria";14.0;"2FyNWTkE-GZnK";"Educativo";"B";8800;9.99;0;0.16;"ACXrTcnz-dmYZ";"N";6
"vu5tIdfr-1wMo";22;30000;"Aluguel";2.0;"yypx1x4D-0iNR";"Educativo";"C";13000;13.11;1;0.43;"wKadK1lb-iAWh";"N";3
"33GERWgu-TcBD";34;38000;"Propria";1.0;"5923iFuz-slWl";"Melhora_do_lar";"A";10000;8.94;0;0.26;"1mjDsXhm-QP72";"N";9
"GnE4wQaQ-DGbc";31;60000;"Hipoteca";7.0;"cx8ckgpR-mFWf";"Empreendimento";"B";7000;0.0;0;0.12;"NuBmz296-P3yf";"N";7
"8HGDJoJB-DquY";26;70000;"Aluguel";0.0;"JaYEcMO3-g9Ms";"Educativo";"C";2400;0.0;0;0.03;"xHUdxnYs-J8Eb";"Y";3
"kAPHixiN-iWt5";22;44307;"Aluguel";6.0;"T0JY4ejM-HbS6";"Melhora_do_lar";"B";10000;11.36;1;0.23;"9HPKWyIx-aC0e";"N";2
"t9NbMlKU-bQD9";30;90000;"Aluguel";14.0;"PcHnbWZX-uPo8";"Pessoal";"D";10000;15.62;0;0.11;"KNiTIaJ1-P4Lg";"Y";6
"Mqsno3QM-8GpN";23;47004;"Aluguel";3.0;"72oKH7ma-cWNZ";"Educativo";"";8000;17.19;0;0.09;"rleOPIRF-xpM1";"";4
"ywiRejb7-HwRe";48;100000;"Hipoteca";3.0;"jKZRasRF-veSM";"Pagamento_debitos";"B";15000;9.88;0;0.15;"w3RCNWah-Bnji";"N";11
"2f6dRCRJ-vAot";22;63000;"Hipoteca";6.0;"SvLHcPQr-0Kyr";"Educativo";"A";3700;5.42;0;0.06;"rwmDMo1m-YKQ4";"N";4
"3GayD56R-v8tm";0;22000;"Aluguel";2.0;"klRjuCAd-PKE6";"Pagamento_debitos";"";10000;7.51;0;0.2;"BuoRTksr-kNrj";"N";4
"gohepZXh-GMpb";23;62500;"Hipoteca";3.0;"NEldmTIs-MDqm";"Pagamento_debitos";"D";10000;15.7;1;0.16;"k6T3sh2H-DExI";"N";3
"eeW8BRuo-9iBU";21;55530;"";5.0;"zhYzPzQH-vtwA";"";"A";13000;15.33;1;0.25;"sAXQzwUG-nhj6";"Y";3
"kjKumxln-4TQo";37;40000;"Aluguel";0.0;"dWEL0Dpd-NRh9";"Empreendimento";"B";12000;9.91;0;0.3;"snCMpEsh-HqPP";"N";15
"fvqTWZy0-aXCc";25;60000;"Propria";8.0;"siORWk7r-yQjn";"Educativo";"B";14000;11.12;0;0.23;"tO90pYY7-ATWZ";"N";2
"Jdd0Rt63-qNdh";24;54100;"Aluguel";5.0;"uRgTzGfw-uwDT";"Empreendimento";"A";4500;7.14;0;0.08;"vkWPci6P-np6C";"N";2
"3TqCNWd6-2cbQ";50;69996;"Propria";19.0;"6qwAj9Z2-rZ71";"Empreendimento";"A";8000;9.32;0;0.11;"l5TG0vKI-dyFU";"N";17
"Pfi3ET0U-GTbQ";22;42000;"Propria";0.0;"EG8cQ096-S1wP";"Educativo";"C";12000;0.0;0;0.29;"IUbmwkLx-awHE";"N";4
"ydNxfHTy-EoRs";22;60000;"Aluguel";0.0;"DucYGr2v-u5CA";"Medico";"B";15000;11.71;0;0.25;"pwM60Zw1-9vC9";"N";4
"QLE3w6cd-Wgnp";23;51600;"Hipoteca";4.0;"KhMXGON6-Zkkt";"Educativo";"B";7200;10.65;0;0.14;"EieYmNkn-MW5f";"N";3
"5FjJNNoM-I5Ig";21;33000;"Propria";2.0;"LhdzkZYD-Iuip";"Educativo";"C";11000;13.11;0;0.33;"5byBbEXa-wqUX";"Y";3
"Hfu1uzSi-tMlO";27;28000;"Aluguel";8.0;"W9EBgFQq-m9Zn";"Medico";"A";12000;7.51;1;0.43;"W0rmDalQ-F2Ic";"N";9
"W5SURhYO-O3JP";26;21000;"Aluguel";3.0;"AsO5ZzAy-otUL";"Pessoal";"A";5000;6.99;0;0.24;"IpKvSjmy-ntwB";"N";3
"kOvjtq1q-iWN0";35;48000;"Aluguel";6.0;"0fFoM3Qc-MCxq";"Educativo";"A";17000;7.88;1;0.35;"w85sliem-3cEz";"N";8
"QEt2mM5e-sjZ1";34;84000;"Hipoteca";15.0;"LJlsiJHE-n7cX";"Pessoal";"B";9250;11.36;0;0.11;"2e4iC5UG-nGi0";"N";8
"8F3MpZCT-T191";33;163400;"Hipoteca";17.0;"BLrAiLZS-FiHy";"Educativo";"E";10000;18.39;1;0.06;"kWEcwIWs-cuL3";"N";5
"3W6p7oWs-dObT";29;290000;"Hipoteca";13.0;"Pvq6fQN1-KFH7";"Pessoal";"B";13175;10.99;0;0.05;"gilWQf6d-iBrz";"N";7
"QhuHtxDb-r9Ta";34;75500;"Aluguel";0.0;"TIyUIqEY-cbst";"Educativo";"D";19200;16.77;1;0.25;"qmBslinU-a2Cb";"Y";7
